,t_class,d_class
1,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
2,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
3,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
4,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
5,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
6,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
7,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
8,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
9,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
10,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
11,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
12,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
13,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
14,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
15,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
16,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
17,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
18,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
19,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
20,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
21,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
22,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
23,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
24,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
25,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
26,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
27,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
28,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
29,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
30,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
31,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
32,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
33,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
34,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
35,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
36,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
37,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
38,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
39,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
40,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
41,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
42,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
43,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
44,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
45,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
46,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
47,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
48,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
49,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
50,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
51,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
52,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
53,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
54,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
55,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
56,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
57,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
58,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
59,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
60,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
61,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
62,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
63,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
64,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
65,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
66,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
67,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
68,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
69,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
70,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
71,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
72,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
73,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
74,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
75,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
76,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
77,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
78,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
79,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
80,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
81,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
82,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
83,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
84,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
85,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
86,"(array([-1]), array([-1]))","(array([-1]), array([-1]))"
